"caminho","bytes","classificacao","justificativa","sha256","duplicado_de"
".agents/skills/supabase-postgres-best-practices/CHANGELOG.md","2065","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","9893d8763a86fb92968cb4e760c4e593ab16a260dd92900306aa05eeabdb2f14",""
".agents/skills/supabase-postgres-best-practices/references/_contributing.md","4283","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","b851de03355ea919862b637fdc14fefab648149cf1013b0194a17108b2d8af4c",""
".agents/skills/supabase-postgres-best-practices/references/_sections.md","1721","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","ad2d6f6b0938ff844f7f8971153ab6d08a03ef6511b02fb9cee9336c7b209e93",""
".agents/skills/supabase-postgres-best-practices/references/_template.md","1074","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","39e9fce3c6ae1af110f689e018d4417f3547ed0417a7b6198b207285e60bf9b8",""
".agents/skills/supabase-postgres-best-practices/references/advanced-full-text-search.md","1523","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","0682b713263c5b6b9638a31f810bad07aa179bc4f79bbb787b92ed287e00fe76",""
".agents/skills/supabase-postgres-best-practices/references/advanced-jsonb-indexing.md","1493","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","9bcbf7da33f6fe6fa9525680ca26d4e3412b534104cffb5f8529596d76631e4f",""
".agents/skills/supabase-postgres-best-practices/references/conn-idle-timeout.md","1328","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","cd4386d0b5a2bd6d0148975f0f379016b47c7cf139b9483c4f24619c6a89f5e3",""
".agents/skills/supabase-postgres-best-practices/references/conn-limits.md","1369","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","9ed6e5e3a45458a52f2863a60324a05d80da1d9f3e23bcb83b06f464f6a3cee7",""
".agents/skills/supabase-postgres-best-practices/references/conn-pooling.md","1423","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","60cd5f7942c44bdf6d8622a49a2e9f0f7fd01daf8e62bd1bd66b195cd6942975",""
".agents/skills/supabase-postgres-best-practices/references/conn-prepared-statements.md","1575","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","5ce48ff1e426c9b90c75c5733817fc2dd8feea9e4db3298ec9373b9cd0cf3bf8",""
".agents/skills/supabase-postgres-best-practices/references/data-batch-inserts.md","1341","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","98251b608bb6cfefd28828c9e5fffc705a155f1212fa0cb82904c5bc2e417572",""
".agents/skills/supabase-postgres-best-practices/references/data-n-plus-one.md","1414","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","f5c60f85f208161cd7567bb7cff0f559618814216a4426bb1351b51f75ec334d",""
".agents/skills/supabase-postgres-best-practices/references/data-pagination.md","1408","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","c0bffeb6880c1f5b961e7c2ff36fd16686ebb09e5e49ed17499654beabea3e60",""
".agents/skills/supabase-postgres-best-practices/references/data-upsert.md","1440","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","b366aa7da1e7929fba3011f99d949b2593967920d0c3c8572e07c0407c367054",""
".agents/skills/supabase-postgres-best-practices/references/lock-advisory.md","1587","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","6d6b50c5ec9f85eb7aebbb1466e642e427c1732efa558488a9cae7ef9903febd",""
".agents/skills/supabase-postgres-best-practices/references/lock-deadlock-prevention.md","1923","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","55f2074581d4db4996fc3ea1d3c120295209a70115f773e2c54f6b312405b293",""
".agents/skills/supabase-postgres-best-practices/references/lock-short-transactions.md","1400","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","2538a22231c0dfde9967812b6bd5fb347287b671f72806495f89d0d0764e5fe6",""
".agents/skills/supabase-postgres-best-practices/references/lock-skip-locked.md","1407","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","42c7492ba7f5d2c8ede9a5af072ea63deacf71e5695e022cae15b46b1ce4df13",""
".agents/skills/supabase-postgres-best-practices/references/monitor-explain-analyze.md","1486","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","94881b47194cb164b1d2a004e79f181370af44ec830b9263e990e2710bd02b76",""
".agents/skills/supabase-postgres-best-practices/references/monitor-pg-stat-statements.md","1473","possivelmente_em_uso","Documento, dado ou configuracao preservado para revisao manual.","812bf181876bacac5a2f914e7ffcf2a0a215b6d18dda752e65e75d926cbbcef4",""
