"caminho","bytes","classificacao","justificativa","sha256"
".build.log","57625","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","64d3c7802e71849e3cbb5fd680718bbf10057d70557d0994777dbf120664f426"
".codex-dev-server.err.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-dev-server.log","4370","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","b2ab274345da27e2ed887d42e3216f0aa90c294af9477c518016d90a1e7cbe00"
".codex-preview.err.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-preview.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-prod-server.err.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-prod-server.log","58","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","be1cf55e70baae51982256c6614d7a05b0f6a11ea3e126115746e2273a74bb7f"
".codex-screenshots/admin_login.png","33548","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","c7b66770bd1ea3d60e196e7748eb7df05b0c67656808f9cd6af0d62b76dc78c0"
".codex-screenshots/home.png","208588","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e63116364a0aa7f79ae039f5329acb093a0d70396e311aa5401bf15c7ec61bc2"
".codex-screenshots/merchant_guard.png","43842","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","a25ac2894526b759e164a98b61c01cdb633d55ed03e16bca9e6c32fb7c1e0eab"
".codex-screenshots/merchant_login.png","43842","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","a25ac2894526b759e164a98b61c01cdb633d55ed03e16bca9e6c32fb7c1e0eab"
".codex-screenshots/partner_landing.png","221387","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","c331c395e9d7a9020aef3df2770ac4789a5703f988075eb7d441d5791c9e0c76"
".codex-screenshots/partner_landing_scrolled.png","387625","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","b456975196a0e083d0f009e37837ae1d5a4a25e59fe39efe844c68fbf1a395cd"
".codex-screenshots/public_store_hype.png","8173","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","b92a97ca0a0b71136efa81b95602bcd51d054ed8d0eb5cdface4ebe6e270177a"
".codex-screenshots/stores.png","208588","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e63116364a0aa7f79ae039f5329acb093a0d70396e311aa5401bf15c7ec61bc2"
".codex-start.err.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-start.out.log","149","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","012c848a8235b0130dc325b2891cb42544d4362f4f6fd105a81fad1e47ed29fd"
".codex-start-4174.err.log","0","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
".codex-start-4174.out.log","149","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","8639b50a064947a5e466388ae1141092c3212e1cdb63fe3446d474627e3f53b0"
".codex-vite.err.log","7759","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","691a5ce5d319afcf3a1301cbec47c041e4a28aa3091f85b10cdc193f9f4236a0"
".codex-vite.out.log","269","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","d78d82f4330ebc8b8d9a3d581434079f85c2459a6bcea7997ee13af8f0319732"
".codex-vite-5173.log","17136","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","410fed61fc1541666e1a8f22fd44a3aabd40600361283522df7b33d87b3756c6"
".dbcheck.log","730","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","97a8612ce6ad3b9ad72455d81561823e797d417aafc6f879a111605994b96e06"
".lint.log","2931","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","b8c1093ccc038cec25f1c7e04e4c550c102d39ed8899ef366a4bc44381c7500b"
".migrate.log","490","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","c30bb2c329a757c554194a9409beca566175cefcfb77c4fa17eef45c8c242ec3"
".npm-install.log","2641","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","e24cfe24e98e8c926995912721db1089788fcf9a6f44a8f997c9d4ea6a0dd0cf"
".vps-check.log","2817","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","b869811d7d7ff6db080ea2cb9cba322c569d27669dfe95919e26c6669a4142a1"
".wf-adm.json","4798","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","4c2d20b60bb467cac0a8f7d3757fe7f1ba38c5929ed67b53f277d1e66b8b8bd3"
".wf-asaas-audit.json","26944","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","7aa43d187ea98fefee918c3c40e02e38dd06fd66875baaef0738d234b8b1c1ac"
".wf-backend-audit.json","51890","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","422875418a4bf17c5a0b59c1b34ae5ee98f4a6d07904eedcba223e3f61f19414"
".wf-output.json","111002","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e1892690d50b1b3b875f80bbd25f596a2058beb6f3524aadebac0bab195cf759"
"_deploy.tgz","26694","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","abc5ab26f9e87d9601d15b952266aa3e6b0a4a8b260ee76e6bf001725f3d02bb"
"_deploy/src/backend/functions.ts","10696","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","445e13c5e9e28a39bbaae445a2f6bf5a7501c089a303887cf764576a5739406f"
"_deploy/src/backend/webhooks.ts","13419","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","b982bb003ca746502b2d1f6c27407c45dc3732a46c76e4affe74f2d92e446f82"
"_deploy/src/server/asaas.central.service.ts","12651","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","cd1582741d3b332136c38458b86870de96cc00f55ca4ea195ce0c14deac94ad0"
